Type: Pos,cost: 0.153741, total cost: 1.018690
Type: Chunk,cost: 0.120860, total cost: 5.524258
Type: Chunk,cost: 0.068237, total cost: 9.769714
Type: Pos,cost: 0.107754, total cost: 15.001764
Type: Chunk,cost: 0.096752, total cost: 19.493281
Type: Chunk,cost: 0.115722, total cost: 24.585987
Type: Pos,cost: 0.098432, total cost: 29.167022
Type: Pos,cost: 0.108037, total cost: 33.518880
Type: Pos,cost: 0.118984, total cost: 37.797126
Type: Pos,cost: 0.083290, total cost: 42.218034
Epoch: 20 Training mean loss: 0.092
Epoch: 20 Validation mean loss 3.982
Epoch: 21
Type: Pos,cost: 0.108161, total cost: 0.915540
Type: Pos,cost: 0.078011, total cost: 4.531521
Type: Pos,cost: 0.081142, total cost: 8.889811
Type: Chunk,cost: 0.075638, total cost: 13.389179
Type: Pos,cost: 0.084843, total cost: 17.493399
Type: Pos,cost: 0.131593, total cost: 22.226871
Type: Chunk,cost: 0.081744, total cost: 26.721415
Type: Pos,cost: 0.085409, total cost: 30.850097
Type: Pos,cost: 0.097486, total cost: 34.748259
Type: Chunk,cost: 0.140168, total cost: 38.681611
Epoch: 21 Training mean loss: 0.084
Epoch: 21 Validation mean loss 4.258
Epoch: 22
Type: Chunk,cost: 0.065717, total cost: 0.816011
Type: Pos,cost: 0.054032, total cost: 4.659600
Type: Pos,cost: 0.045903, total cost: 8.439971
Type: Pos,cost: 0.116895, total cost: 13.118692
Type: Pos,cost: 0.068359, total cost: 16.886683
Type: Pos,cost: 0.061805, total cost: 22.063714
Type: Chunk,cost: 0.073162, total cost: 26.345718
Type: Chunk,cost: 0.117511, total cost: 30.347929
Type: Chunk,cost: 0.077826, total cost: 34.105856
Type: Pos,cost: 0.098062, total cost: 38.272655
Epoch: 22 Training mean loss: 0.082
Epoch: 22 Validation mean loss 4.122
Epoch: 23
Type: Pos,cost: 0.112232, total cost: 1.024396
Type: Chunk,cost: 0.100783, total cost: 4.349913
Type: Pos,cost: 0.044383, total cost: 7.999500
Type: Pos,cost: 0.095314, total cost: 12.114026
Type: Pos,cost: 0.049792, total cost: 15.897801
Type: Pos,cost: 0.067819, total cost: 20.140923
Type: Chunk,cost: 0.049542, total cost: 24.063408
Type: Pos,cost: 0.072881, total cost: 28.085343
Type: Pos,cost: 0.082088, total cost: 31.841814
Type: Chunk,cost: 0.102227, total cost: 35.362115
Epoch: 23 Training mean loss: 0.077
Epoch: 23 Validation mean loss 4.174
Epoch: 24
Type: Chunk,cost: 0.052210, total cost: 0.800039
Type: Pos,cost: 0.074334, total cost: 4.162786
Type: Pos,cost: 0.037300, total cost: 7.750574
Type: Chunk,cost: 0.084708, total cost: 11.382159
Type: Pos,cost: 0.035137, total cost: 14.708930
Type: Pos,cost: 0.056610, total cost: 18.661407
Type: Pos,cost: 0.093052, total cost: 22.648302
Type: Pos,cost: 0.055741, total cost: 26.333823
Type: Chunk,cost: 0.046076, total cost: 29.920042
Type: Chunk,cost: 0.056917, total cost: 33.402697
Epoch: 24 Training mean loss: 0.073
Epoch: 24 Validation mean loss 3.630
Epoch: 25
Type: Chunk,cost: 0.048325, total cost: 0.943217
Type: Chunk,cost: 0.097067, total cost: 4.766694
Type: Pos,cost: 0.029151, total cost: 8.027428
Type: Chunk,cost: 0.041577, total cost: 11.865733
Type: Chunk,cost: 0.124787, total cost: 15.229402
Type: Chunk,cost: 0.130857, total cost: 19.426386
Type: Pos,cost: 0.079663, total cost: 22.847668
Type: Pos,cost: 0.064047, total cost: 26.456228
Type: Chunk,cost: 0.059765, total cost: 29.776558
Type: Chunk,cost: 0.099625, total cost: 33.096440
Epoch: 25 Training mean loss: 0.072
Epoch: 25 Validation mean loss 4.083
Epoch: 26
Type: Chunk,cost: 0.049327, total cost: 0.696943
Type: Chunk,cost: 0.070138, total cost: 3.802938
Type: Pos,cost: 0.022361, total cost: 6.632652
Type: Pos,cost: 0.088948, total cost: 10.626134
Type: Chunk,cost: 0.062491, total cost: 14.009708
Type: Pos,cost: 0.066503, total cost: 17.810048
Type: Pos,cost: 0.065755, total cost: 21.264990
Type: Pos,cost: 0.048463, total cost: 24.530107
Type: Chunk,cost: 0.043893, total cost: 27.704211
Type: Pos,cost: 0.104289, total cost: 30.585642
Epoch: 26 Training mean loss: 0.066
Epoch: 26 Validation mean loss 4.565
Epoch: 27
Type: Chunk,cost: 0.027747, total cost: 0.656898
Type: Pos,cost: 0.040602, total cost: 2.950775
Type: Chunk,cost: 0.083449, total cost: 6.137837
Type: Pos,cost: 0.064515, total cost: 9.395327
Type: Pos,cost: 0.051284, total cost: 12.423709
Type: Chunk,cost: 0.110483, total cost: 15.892361
Type: Pos,cost: 0.054197, total cost: 19.141949
Type: Chunk,cost: 0.115040, total cost: 22.301482
Type: Chunk,cost: 0.033983, total cost: 25.301423
Type: Chunk,cost: 0.065052, total cost: 28.498743
Epoch: 27 Training mean loss: 0.062
Epoch: 27 Validation mean loss 4.428
Epoch: 28
Type: Pos,cost: 0.109498, total cost: 0.745080
Type: Pos,cost: 0.038180, total cost: 3.488751
Type: Pos,cost: 0.025665, total cost: 6.146524
Type: Chunk,cost: 0.048777, total cost: 9.135364
Type: Pos,cost: 0.028584, total cost: 11.659778
Type: Pos,cost: 0.050899, total cost: 15.205586
Type: Pos,cost: 0.067750, total cost: 18.579288
Type: Pos,cost: 0.063592, total cost: 21.302638
Type: Chunk,cost: 0.023724, total cost: 23.900040
Type: Chunk,cost: 0.073735, total cost: 26.617769
Epoch: 28 Training mean loss: 0.058
Epoch: 28 Validation mean loss 4.442
Epoch: 29
Type: Chunk,cost: 0.025760, total cost: 0.586855
Type: Pos,cost: 0.032248, total cost: 3.449432
Type: Pos,cost: 0.020492, total cost: 5.708390
Type: Chunk,cost: 0.030040, total cost: 8.573733
Type: Chunk,cost: 0.054486, total cost: 11.266197
Type: Chunk,cost: 0.087084, total cost: 14.328146
Type: Chunk,cost: 0.069633, total cost: 17.454836
Type: Pos,cost: 0.047014, total cost: 20.393207
T
